strain	ascr.s.	ascr.l.	bhas.s.	bhas.l.	modified.C.	modified.4..	oscr.s.	oscr.l.	bhos
BRC20067	0.3967397335012027	0.014726888106268342	0.005073027285568691	0.0054445682966691306	0.014656968664695373	0.007856057766615623	0.5447380110771096	0.008997299995919016	0.0017674453059514767
CB4856	0.49722792466584864	0.02144852461518425	0.008509358633741087	0.0030132107889502806	0.04060161196597995	0.0497237154720676	0.37474805900610375	0.00409622423041432	6.313706217101433e-4
CB4932	0.433331547278311	0.008683530604539818	0.006052662028196018	0.0020462028824895324	0.021596978388744817	0.009564292883083155	0.513571196689791	0.0043278378844757385	8.257513603688704e-4
CX11254	0.331526661604974	0.010282224918078687	0.0037584081833635877	0.0028496069780307885	0.010395853456616724	0.009071798523327814	0.6206904879299231	0.010251249694931767	0.0011737087107534635
CX11264	0.45478168968170524	0.015902480067608853	0.010157554367095428	0.002074444942901995	0.028511188914537265	0.007446191442614208	0.4739622649820421	0.005618837640391994	0.0015453479611029508
CX11271	0.3532616050973177	0.009317912330769944	0.004388068886994386	0.002949776820615244	0.014711538017904589	0.007609328934167848	0.5958266326544737	0.010466394162424968	0.0014687430953317137
CX11276	0.37426155525004673	0.02220409547530285	0.004518633340050719	0.003504249115123772	0.02841363310415824	0.008226942255524228	0.5512615543651588	0.006022616709374926	0.001586720385259687
CX11285	0.42953934241796987	0.011021202159722398	0.009872035914349011	0.003392604304495909	0.00848683211204319	0.01401733513834308	0.5158771968219401	0.006701360740698036	0.0010920903904384155
CX11292	0.34510253569235655	0.020260732887007478	0.004080489708641619	0.0025415681233063115	0.013746342309752458	0.006366593031696899	0.5990330457549697	0.007579001134412325	0.0012896913578566138
CX11314	0.3218804340006429	0.015807810186192265	0.0036822873034534974	0.0022393284931313054	0.019754064695862134	0.005927138123074684	0.6207711718090655	0.009082507624199257	8.552577643784941e-4
DL226	0.3701609658919477	0.007653877449206123	0.004604597004273521	0.0027707358968400036	0.029355230134319597	0.020057459002094997	0.5592260485923404	0.004557463831895663	0.001613622197082005
