strain,bpTIC,ascr_total,anglas#3,anglas#7,ascr#1,ascr#10,ascr#11,ascr#12,ascr#15,ascr#18,ascr#22,ascr#3,ascr#5,ascr#7,ascr#8,ascr#81,ascr#9,bhas#10,bhas#11,bhas#12,bhas#16,bhas#18,bhas#22,bhas#26,bhos#10,bhos#18,bhos#22,glas#1,glas#3,icas#10,icas#3,icas#9,iglas#2,iglu#1,iglu#2,osas#10,osas#2,osas#9,oscr#1,oscr#10,oscr#11,oscr#12,oscr#14,oscr#18,oscr#19,oscr#21,oscr#3,oscr#7,oscr#9,uglas#11
BRC20067,32586799611,342858700,486226,222657,2.67E+07,7883540,1.34E+07,4630960,352199,4515060,147337,7.28E+07,1.79E+08,4292940,121635,3976730,5384880,211465,906687,609245,41321,686588,902291,223709,19081,429417,153328,5707,15264,122599,740603,1193860,140689,2139210,5202,197172,307214,113588,431781,594713,97780,1953310,7290,2974520,5450,83666,166849,202687,3401770,21880
CB4856 W1,10507381895,22549539,92344,20071,1813220,567903,423766,279561,3993860,126997,7762,2940430,4246830,273355,2927,112578,351808,1000,71324,28049,1000,9776,8453,1000,1000,2670,3624,2884,5499,1000,1000,49692,6905,6743070,3016,5454,33022,6638,2873,7807,2946,47584,38870,67166,4284,4684,5734,3186,130917,1000
CB4856 W5,9859282739,47389842,38566,20407,4449820,857609,1321520,685943,692239,293295,11570,8402080,1.63E+07,726629,78915,175373,691139,21477,207494,63853,2463,27547,30745,3020,21477,16591,12386,5730,5624,1000,53390,120297,14654,1.05E+07,1000,1000,54188,13195,23350,23577,16977,154818,3053,181486,4160,4287,4159,726629,362710,1000
CB4856 W7,13674242591,6214842,11767,1000,631290,83803,145665,88967,443927,23253,1000,955501,1710780,78987,1000,26981,109919,1000,15226,5829,1000,1000,1000,1000,1000,1000,1000,3100,1000,3148,1000,16484,1000,1754830,1000,1000,1000,1000,3317,2922,10489,10634,2719,14799,4912,1000,2776,6353,46464,1000
CB4856 W8,37106426537,462867334,852444,749022,5.40E+07,1.50E+07,1.39E+07,1.10E+07,615967,3603810,27486,9.28E+07,1.42E+08,3962770,130048,1.52E+07,1.16E+07,332648,2389350,767075,34219,562995,548445,148880,23417,162440,43085,168318,172944,349224,1284720,1.51E+07,44622,6.00E+07,5306,1770990,1417410,2528740,320611,268649,33040,1945180,9167,1534480,5896,52305,41753,283568,4218310,680400
CB4932,11725324022,78063142,13382,19153,4610300,803423,2080400,630079,227706,312235,6855,1.66E+07,3.19E+07,1433050,26665,865190,1129340,30831,269188,81113,2953,53343,56543,16009,30831,16571,4595,28879,342337,7124,90129,277730,39029,1.50E+07,1000,61112,86998,79164,16541,31659,3663,137247,2116,267661,3860,1000,3931,42693,248002,25312
CX11254,47826199391,290823683,80348,47507,2.32E+07,4787650,1.24E+07,2964640,473370,2012820,49244,2.83E+07,1.49E+08,2722810,106835,1937010,7374130,40564,662063,224137,5344,231096,350626,115602,40564,162156,86698,44427,341535,116206,320012,902478,4791,4.36E+07,4568,200445,555783,142038,301532,333378,123851,1218230,4914,2517600,5287,4909,110884,175551,2070550,1000
CX11264,13669796173,43020904,30735,10821,2739960,1331320,1453350,496183,195413,291843,3737,7103700,1.42E+07,200906,296748,410826,716078,9333,247046,57238,2677,24860,33382,3130,9333,4998,33382,5092,121942,5680,40642,91321,3126,1.21E+07,3423,14041,61909,16310,26715,18166,4072,103395,90474,165380,5008,3095,2677,20057,190880,1000
CX11271,29641339448,186541850,31052,15103,1.22E+07,2705580,5361790,1902060,324365,1114760,14971,2.85E+07,9.07E+07,1850570,1000,1602260,2607830,53407,388901,242467,10465,164016,196994,88849,17375,135018,76810,41471,398235,20765,153234,399731,199978,3.02E+07,3961,36419,548315,29001,134395,201754,19635,621751,3899,1622060,5726,5535,147552,93497,1299600,6693
CX11276,17034825981,58211996,5889,9974,2999410,619635,1609270,670965,683979,265086,4452,8288000,2.30E+07,1031180,1000,1018920,853564,31050,109259,53736,3679,55926,70653,20226,31050,32697,4392,1000,137047,1000,82958,154174,42073,1.52E+07,6060,6482,99577,9101,25504,36327,12806,177802,2313,252174,5457,1000,18230,36412,418235,4272
