feature,N2,E1,E2,N2,E1,E2,NIC,ED,N2,E1,E2,NIC,ED,N2,E1,E2,NIC,ED
sum(oscr#11_ascr#11),362463.7779,329490.6023,283783.9415,571563.261,779758.9178,388427.9711,240940.8604,538912.0026,244742.0788,470289.9063,18488.4937,377541.8111,270843.0073,349247.9983,515473.3506,345652.9293,388637.6172,262976.573
ascr#9,178597.3677,219130.559,196483.6315,254188.4056,535124.4879,271855.3859,216410.0316,481489.2148,159704.1366,367659.8313,16873.78305,348406.6204,255463.2774,205070.0187,325060.4105,194052.4944,400455.3269,293019.5621
oscr#9,100056.1761,104819.9231,69766.28668,157185.5669,247585.8572,126751.3308,58902.15862,83682.53048,71540.85553,120899.0416,11400.17897,58274.28479,59392.39982,77071.48776,122192.9326,77162.80942,65778.11047,51614.15879
ascr#1,2255649.905,2357014.332,2206652.835,3125958.958,5071456.971,2799319.182,955643.139,1827644.493,1561827.298,3027368.928,109627.5396,1563204.656,1054693.391,1923036.241,3195312.138,1893237.265,1568268.663,1078994.206
oscr#1,30982.8188,31770.87903,37007.4801,75736.37287,117975.542,49865.63828,19725.65955,30247.6434,30520.41016,47175.43548,7363.361202,21143.26058,17264.14911,28276.63269,50291.7522,29366.03642,21163.4152,20207.37653
ascr#14,37797.04445,33896.08776,40642.38716,53313.0544,117568.9231,50544.08629,26542.92142,53205.95453,23182.70709,62855.73034,2995.719222,39560.4354,23970.39831,27464.05973,53988.45998,33371.08154,43548.83418,24060.05195
oscr#14,5262.142893,5520.001383,5862.63999,10004.27367,17516.06366,8520.07207,2780.524593,6722.971322,2721.012533,9346.785519,281.3393229,2717.732031,2186.510107,3509.375732,7248.369613,3396.099072,3474.666251,2303.42863
ascr#3,6382679.861,4716964.151,4339267.942,8812448.206,10730406.52,5281042.145,4712375.577,6886918.082,4305003.979,6990976.658,256867.5489,6152073.083,4661169.74,4332823.224,4873204.433,3485881.068,4552798.782,3302201.587
ascr#10,647277.5681,745585.0001,666701.4767,1077997.201,2432809.599,1430380.106,270086.7509,630145.9282,576893.1985,1944948.061,81444.55543,430774.1905,379971.8341,530733.1133,1092577.497,593845.2475,734575.1469,482400.4886
oscr#3(weak),37696.38123,28292.88586,29154.05054,53183.41699,74896.25592,36665.42322,24551.10138,40159.63452,21199.59892,38250.66406,4816.393208,27035.80896,18026.86486,22206.64063,26868.7276,20749.41058,18174.88123,15144.763
oscr#10,27439.27248,33160.54485,32544.56175,54204.56287,99510.63629,46603.24676,10321.60402,23960.24965,25693.68958,52216.3887,985.3222814,13973.61296,10394.34409,27686.6526,52568.37061,32442.79575,15399.60294,11417.40398
ascr#16,6348.63083,5722.191297,5886.057976,11800.84056,18996.89495,8020.021318,3978.16767,9070.218027,5075.078573,10408.79263,98.42804329,5847.435995,5777.228077,5370.94046,8609.621662,5295.967664,6602.416973,4164.606621
icas#9,268262.7648,109372.6466,98215.31535,566804.9616,753337.235,233010.1303,141117.1987,718795.0187,142143.0632,231651.3565,5780.626877,715103.1614,288133.3064,329584.0412,763300.1898,697754.908,472052.1379,325184.9072
oscr#16,7441.342346,6675.335022,6164.095367,12605.4458,20198.009,8232.040955,2015.714264,4868.678101,5317.237525,9679.9133,219.1919103,2532.560059,3049.772003,5534.925659,11146.54987,5685.237076,2910.226471,2633.386108
osas#10,133814.1542,15718.23923,15294.68074,266391.799,42910.48201,20112.20248,70779.85336,175129.4087,126247.5603,38565.33754,3422.99529,88327.43284,113126.3382,75430.75969,26409.00334,97168.89542,23264.4949,17128.47536
nacq#1,4386739.107,2065074.347,1801898.405,5243172.9,2030991.171,1139179.548,4630255.337,5289948.158,1564755.975,1086560.073,59294.15933,6312998.714,3268371.788,3651797.996,2140570.092,3066942.471,3388847.933,2706671.885
nacq#2,709038.745,240124.8251,235160.2977,520834.4318,162431.1732,93157.10083,544771.6466,487890.6043,141549.9171,84326.08282,9289.508852,509263.7119,256503.566,263381.4041,153654.0612,268371.8509,236192.8033,187332.7584
ascr#18,323730.8136,309451.8981,310956.9081,528020.27,1051815.957,452523.696,180061.0446,435620.9227,212882.2026,543681.7079,19386.03268,230540.0529,227222.4896,246140.353,421014.2233,228449.4152,281613.7726,219720.8673
oscr#18,370170.4695,383720.833,338385.988,617851.6434,1032288.505,487355.849,75001.44502,224443.5302,229925.4596,502954.8472,14129.74383,121060.6774,113531.2728,309473.1942,525822.9815,291219.6519,131997.8967,111498.3056
nacq#3,463549.6353,185752.7663,144120.8762,500514.2055,148371.5169,96927.91077,734587.9222,697573.2721,152788.0166,83899.16983,5678.199361,1001638.608,397677.0187,389147.9419,163369.7659,324928.3669,525910.3407,383437.8625
icas#3,289383.0929,136442.3142,116965.2989,428390.955,624893.3449,214432.4429,109906.8138,456122.6657,99817.62887,219235.9584,4445.342072,287216.4857,191199.497,256315.6919,492700.2302,322897.9015,326694.9846,248723.213
ascr#22,22200.47162,18963.13602,17323.5501,33835.49694,62410.31857,26549.01774,14195.59998,28160.0331,13697.16991,32164.27083,542.3641663,17925.57664,15949.8025,18661.5659,27372.94151,14762.38858,19435.935,14793.28372
icas#10,34794.84183,13413.05113,11694.34383,29768.02955,55739.56287,32306.98652,6039.227317,24071.48782,16222.27426,51998.69606,5860.866794,10643.74428,9329.963048,22092.58536,37672.83295,25452.39355,20372.46026,19926.60793
oscr#22,6366.212524,6480.314989,4580.62233,13689.8288,22709.86768,9961.2457,1648.837723,4313.659408,4790.719207,8591.268381,0,1886.95083,1476.263314,5745.372858,10203.08509,5663.947852,2722.327715,1249.353437
mbas#3,35312.76916,14741.60562,13638.47311,53767.96878,70173.77045,31360.26339,22560.16847,84866.56462,21650.32469,37734.91007,194.7677307,32967.56897,46353.4819,22137.94186,36192.42085,27353.28475,37011.75145,30576.35193
ascr#5,6338831.955,5300442.93,4457605.391,10672020.22,12837343.44,5145741.935,2080654.642,4646305.63,3684847.011,5931058.317,147848.9221,2974172.65,1995897.358,4173421.198,5406524.951,4106085.271,2620166.512,1944250.434
ascr#11(manual),190000,133076.9231,119230.7692,266153.8462,301538.4615,157692.3077,159230.7692,317692.3077,130000,195384.6154,4307.692308,257692.3077,167692.3077,177692.3077,215384.6154,160769.2308,242307.6923,150000
oscr#11(manual),181538.4615,198461.5385,186923.0769,319230.7692,528461.5385,241538.4615,88461.53846,230000,136923.0769,286153.8462,7230.769231,128461.5385,107692.3077,207692.3077,313846.1538,203846.1538,153076.9231,115384.6154
